SpeciesAuthor,Authors,Journal,YearPublication,DOI.ISBN,Continent,Country,MatrixPopulation,Lat,Lon,Lat_Corr,Lon_Corr,Coord_Comment,Ecoregion,Ecoregion_Corr,Ecoregion_Comment
Eryngium_alpinum,Andrello; Bizoux; Barbet-Massin; Gaudeul; Nicolè; Till-Bottraud,Biol Cons,2012,10.1016/j.biocon.2011.12.012,Europe,FRA,PRB,45.367,6.717,45.361406,6.700961,author correspondence,TBM,NA,NA
Eryngium_alpinum,Andrello; Bizoux; Barbet-Massin; Gaudeul; Nicolè; Till-Bottraud,Biol Cons,2012,10.1016/j.biocon.2011.12.012,Europe,FRA,PRC,45.367,6.717,45.361147,6.702239,author correspondence,TBM,NA,NA
Eryngium_alpinum,Andrello; Bizoux; Barbet-Massin; Gaudeul; Nicolè; Till-Bottraud,Biol Cons,2012,10.1016/j.biocon.2011.12.012,Europe,FRA,PRC,45.417,6.550,45.361147,6.702239,PRC is in here twice...,TBM,NA,NA
Eryngium_alpinum,Andrello; Bizoux; Barbet-Massin; Gaudeul; Nicolè; Till-Bottraud,Biol Cons,2012,10.1016/j.biocon.2011.12.012,Europe,FRA,PRD,45.417,6.550,45.359778,6.701606,author correspondence,TBM,NA,NA
Paeonia_officinalis,Andrieu; Freville; Besnord; Vaudey; Gauthier; Thompson; Debussche,Popul Ecol,2013,10.1007/s10144-012-0346-1,Europe,FRA,Open habitat,43.767,3.017,NA,NA,NA,MED,NA,NA
Paeonia_officinalis,Andrieu; Freville; Besnord; Vaudey; Gauthier; Thompson; Debussche,Popul Ecol,2013,10.1007/s10144-012-0346-1,Europe,FRA,Woodland,43.767,3.017,NA,NA,NA,MED,NA,NA
Paeonia_officinalis,Andrieu; Freville; Besnord; Vaudey; Gauthier; Thompson; Debussche,Popul Ecol,2013,10.1007/s10144-012-0346-1,Europe,FRA,Managed habitat,43.767,3.017,NA,NA,NA,MED,NA,NA
Brassica_insularis,Noel; Maurice; Mignot; Glémin; Carbonell; Justy; Guyot; Olivieri; Petit,Cons Genet,2010,10.1007/s10592-010-0056-1,Europe,FRA,Teghime,42.783,9.433,42.669028,9.375817,author correspondence,MED,NA,NA
Brassica_insularis,Noel; Maurice; Mignot; Glémin; Carbonell; Justy; Guyot; Olivieri; Petit,Cons Genet,2010,10.1007/s10592-010-0056-1,Europe,FRA,Inzecca,42.100,9.267,42.096681,9.299389,author correspondence,MED,NA,NA
Brassica_insularis,Noel; Maurice; Mignot; Glémin; Carbonell; Justy; Guyot; Olivieri; Petit,Cons Genet,2010,10.1007/s10592-010-0056-1,Europe,FRA,Calcina,41.717,9.350,41.719789,9.354142,author correspondence,MED,NA,NA
Brassica_insularis,Noel; Maurice; Mignot; Glémin; Carbonell; Justy; Guyot; Olivieri; Petit,Cons Genet,2010,10.1007/s10592-010-0056-1,Europe,FRA,Corbaghiola,42.317,9.133,42.312881,9.128661,author correspondence,MED,NA,NA
Geranium_sylvaticum_2,Evju; Halvorsen; Rydgren; Austrheim; Mysterud,Plant Ecol,2011,10.1007/s11258-011-9906-2,Europe,NOR,"Hol municipality, Buskerud county (Southern Norway)",60.700,7.950,,,,TUN,NA,NA
Viola_biflora,Evju; Halvorsen; Rydgren; Austrheim; Mysterud,Oecologia,2010,10.1007/s00442-010-1637-x,Europe,NOR,High sheep density,60.667,8.000,,,,TUN,NA,NA
Viola_biflora,Evju; Halvorsen; Rydgren; Austrheim; Mysterud,Oecologia,2010,10.1007/s00442-010-1637-x,Europe,NOR,Low sheep density,60.667,8.000,,,,TUN,NA,NA
Viola_biflora,Evju; Halvorsen; Rydgren; Austrheim; Mysterud,Oecologia,2010,10.1007/s00442-010-1637-x,Europe,NOR,No sheep,60.667,8.000,,,,TUN,NA,NA
Cypripedium_calceolus,Nicolè; Brzosko; Till-Bottraud,J Ecol,2005,10.1111/j.1365-2745.2005.01010.x,Europe,POL,Zabudnik,53.267,22.650,,,,TBM,NA,NA
Cypripedium_calceolus,Nicolè; Brzosko; Till-Bottraud,J Ecol,2005,10.1111/j.1365-2745.2005.01010.x,Europe,POL,Pogorzaly,53.267,22.650,,,,TBM,NA,NA
Cypripedium_calceolus,Nicolè; Brzosko; Till-Bottraud,J Ecol,2005,10.1111/j.1365-2745.2005.01010.x,Europe,POL,Oparzelisko,53.267,22.650,,,,TBM,NA,NA
Actaea_spicata,Fröborg; Eriksson,Can J Bot,2003,10.1139/B03-099,Europe,SWE,Site A,58.950,17.617,58.948707,17.612246,author correspondence,TBM,NA,NA
Actaea_spicata,Fröborg; Eriksson,Can J Bot,2003,10.1139/B03-099,Europe,SWE,Site B,58.983,17.550,58.948707,17.612246,author correspondence,TBM,NA,NA
Ranunculus_peltatus,Idestam-Almquist,PhD thesis,1998,NA,Europe,SWE,Island of Askö,59.133,16.000,,,,TBM,NA,NA
Agrimonia_eupatoria,Kiviniemi,Plant Ecol,2002,NA,Europe,SWE,A,58.933,17.133,,,,FGS,NA,NA
Agrimonia_eupatoria,Kiviniemi,Plant Ecol,2002,NA,Europe,SWE,B,58.933,17.133,,,,FGS,NA,NA
Primula_farinosa_4,Toräng; Ehrlén; Ågren,Oecologia,2010,10.1007/s00442-009-1552-1,Europe,SWE,Tranekärr,56.584,16.517,,,,TBM,NA,NA
Primula_farinosa_4,Toräng; Ehrlén; Ågren,Oecologia,2010,10.1007/s00442-009-1552-1,Europe,SWE,Dröstorp 1,56.568,16.535,,,,TBM,NA,NA
Primula_farinosa_4,Toräng; Ehrlén; Ågren,Oecologia,2010,10.1007/s00442-009-1552-1,Europe,SWE,Dröstorp 2,56.584,16.551,,,,TBM,NA,NA
Mammillaria_huitzilopochtli,Flores-Martinez; Manzanero-Medino; Golubov; Montaña; Mandujano,Plant Ecol,2010,10.1007/s11258-010-9737-6,N America,MEX,S2,17.901,-96.952,NA,NA,NA,TGV,NA,NA
Mammillaria_huitzilopochtli,Flores-Martinez; Manzanero-Medino; Golubov; Montaña; Mandujano,Plant Ecol,2010,10.1007/s11258-010-9737-6,N America,MEX,S1,17.801,-96.951,NA,NA,NA,TGV,NA,NA
Opuntia_rastrera,Mandujano; Montaña; Franco; Golubov; Flores-Martinez,Ecology,2001,10.2307/2679864,N America,MEX,Nopalera,26.667,-103.750,,,,DES,NA,NA
Opuntia_rastrera,Mandujano; Montaña; Franco; Golubov; Flores-Martinez,Ecology,2001,10.2307/2679864,N America,MEX,Grassland,26.667,-103.750,,,,DES,NA,NA
Tillandsia_macdougallii,Mondragón; Ticktin,Cons Biol,2011,10.1111/j.1523-1739.2011.01691.x,N America,MEX,Santa Catarina Ixtepeji,17.267,-96.567,,,,TSC,NA,NA
Cirsium_pitcheri_3,Bell; Bowles; McEachern,Book,2003,978-3-642-07869-9,N America,USA,Indiana Dunes West Beach,41.617,-87.200,,,,TGS,NA,NA
Cirsium_pitcheri_6,Bell; Powell; Bowles,J Wild Manag,2013,10.1002/jwmg.525,N America,USA,Illinois Beach State Park,42.417,-87.800,,,,TGS,NA,NA
Astragalus_scaphoides_2,Crone; Lesica,Ecology,2004,10.1890/03-0256,N America,USA,Sheep Corral Gulch,45.000,-113.700,,,,DES,NA,NA
Astragalus_scaphoides_2,Crone; Lesica,Ecology,2004,10.1890/03-0256,N America,USA,McDevitt Creek,45.867,-113.700,,,,DES,NA,NA
Astragalus_scaphoides_2,Crone; Lesica,Ecology,2004,10.1890/03-0256,N America,USA,Haynes Creek,45.867,-113.700,,,,DES,NA,NA
Balsamorhiza_sagittata,Crone; Marler; Pearson,J Appl Ecol,2009,10.1111/j.1365-2664.2009.01635.x,N America,USA,Mount Jumbo,46.883,-113.950,,,,TCF,NA,NA
Cirsium_undulatum,Dalgleish; Koons; Adler,J Ecol,2010,10.1111/j.1365-2745.2009.01585.x,N America,USA,Hays,38.133,-99.050,38.8,-99.3,typo in COMPADRE,TGS,NA,NA
Echinacea_angustifolia,Dalgleish; Koons; Adler,J Ecol,2010,10.1111/j.1365-2745.2009.01585.x,N America,USA,Hays,38.133,-99.050,38.8,-99.3,typo in COMPADRE,TGS,NA,NA
Hedyotis_nigricans,Dalgleish; Koons; Adler,J Ecol,2010,10.1111/j.1365-2745.2009.01585.x,N America,USA,Hays,38.133,-99.050,38.8,-99.3,typo in COMPADRE,TGS,NA,NA
Lesquerella_ovalifolia,Dalgleish; Koons; Adler,J Ecol,2010,10.1111/j.1365-2745.2009.01585.x,N America,USA,Hays,38.133,-99.050,38.8,-99.3,typo in COMPADRE,TGS,NA,NA
Paronychia_jamesii,Dalgleish; Koons; Adler,J Ecol,2010,10.1111/j.1365-2745.2009.01585.x,N America,USA,Hays,38.133,-99.050,38.8,-99.3,typo in COMPADRE,TGS,NA,NA
Psoralea_tenuiflora,Dalgleish; Koons; Adler,J Ecol,2010,10.1111/j.1365-2745.2009.01585.x,N America,USA,Hays,38.800,-99.200,38.8,-99.3,typo in COMPADRE,TGS,NA,NA
Ratibida_columnifera,Dalgleish; Koons; Adler,J Ecol,2010,10.1111/j.1365-2745.2009.01585.x,N America,USA,Hays,38.800,-99.200,38.8,-99.3,typo in COMPADRE,TGS,NA,NA
Solidago_mollis,Dalgleish; Koons; Adler,J Ecol,2010,10.1111/j.1365-2745.2009.01585.x,N America,USA,Hays,38.800,-99.200,38.8,-99.3,typo in COMPADRE,TGS,NA,NA
Sphaeralcea_coccinea,Dalgleish; Koons; Adler,J Ecol,2010,10.1111/j.1365-2745.2009.01585.x,N America,USA,Hays,38.800,-99.200,38.8,-99.3,typo in COMPADRE,TGS,NA,NA
Thelesperma_megapotamicum,Dalgleish; Koons; Adler,J Ecol,2010,10.1111/j.1365-2745.2009.01585.x,N America,USA,Hays,38.800,-99.200,38.8,-99.3,typo in COMPADRE,TGS,NA,NA
Cirsium_pitcheri_5,Ellis,Ecology,2012,10.1890/11-1052.1,N America,USA,CiPi 4,42.417,-87.800,42.42346,-87.805309,typo in COMPADRE,TGS,NA,NA
Liatris_scariosa,Ellis,Ecology,2012,10.1890/11-1052.1,N America,USA,Lisc 0,41.517,-87.900,41.51937,-87.90951,typo in COMPADRE,TGS,NA,NA
Liatris_scariosa,Ellis,Ecology,2012,10.1890/11-1052.1,N America,USA,Lisc 1,41.517,-87.900,41.51937,-87.90951,typo in COMPADRE,TGS,NA,NA
Liatris_scariosa,Ellis,Ecology,2012,10.1890/11-1052.1,N America,USA,Lisc 2,41.517,-87.900,41.51937,-87.90951,typo in COMPADRE,TGS,NA,NA
Cirsium_pitcheri_4,Ellis; Williams; Lesica; Bell; Bierzychudek; Bowles; Crone; Doak; Ehrlén; Ellis-Adam; McEachern; Ganesan; Latham; Luijten; Kaye; Knight; Menges; Morris; Den Nijs; Oostermeijer; Quintana-Ascencio; Shelly; Stanley; Thorpe; Ticktin; Valverde; Weekley,Ecology,2012,10.1890/11-1052.1,N America,USA,CiPi 1,41.617,-87.200,41.62268,-87.20911,typo in COMPADRE,TGS,NA,NA
Cirsium_pitcheri_4,Ellis; Williams; Lesica; Bell; Bierzychudek; Bowles; Crone; Doak; Ehrlén; Ellis-Adam; McEachern; Ganesan; Latham; Luijten; Kaye; Knight; Menges; Morris; Den Nijs; Oostermeijer; Quintana-Ascencio; Shelly; Stanley; Thorpe; Ticktin; Valverde; Weekley,Ecology,2012,10.1890/11-1052.1,N America,USA,CiPi 2,41.667,-87.000,41.67439,-87.01803,typo in COMPADRE,TGS,NA,NA
Cirsium_pitcheri_4,Ellis; Williams; Lesica; Bell; Bierzychudek; Bowles; Crone; Doak; Ehrlén; Ellis-Adam; McEachern; Ganesan; Latham; Luijten; Kaye; Knight; Menges; Morris; Den Nijs; Oostermeijer; Quintana-Ascencio; Shelly; Stanley; Thorpe; Ticktin; Valverde; Weekley,Ecology,2012,10.1890/11-1052.1,N America,USA,CiPi 3,41.617,-87.250,41.62078,-87.25034,typo in COMPADRE,TGS,NA,NA
Hypericum_cumulicola_2,Ellis; Williams; Lesica; Bell; Bierzychudek; Bowles; Crone; Doak; Ehrlén; Ellis-Adam; McEachern; Ganesan; Latham; Luijten; Kaye; Knight; Menges; Morris; Den Nijs; Oostermeijer; Quintana-Ascencio; Shelly; Stanley; Thorpe; Ticktin; Valverde; Weekley,Ecology,2012,10.1890/11-1052.1,N America,USA,HYCU_29,27.151,-81.517,27.16327,-81.36482,typo in COMPADRE,TBM,NA,NA
Hypericum_cumulicola_2,Ellis; Williams; Lesica; Bell; Bierzychudek; Bowles; Crone; Doak; Ehrlén; Ellis-Adam; McEachern; Ganesan; Latham; Luijten; Kaye; Knight; Menges; Morris; Den Nijs; Oostermeijer; Quintana-Ascencio; Shelly; Stanley; Thorpe; Ticktin; Valverde; Weekley,Ecology,2012,10.1890/11-1052.1,N America,USA,HYCU_59,27.151,-81.517,27.13547,-81.36499,typo in COMPADRE,TBM,NA,NA
Hypericum_cumulicola_2,Ellis; Williams; Lesica; Bell; Bierzychudek; Bowles; Crone; Doak; Ehrlén; Ellis-Adam; McEachern; Ganesan; Latham; Luijten; Kaye; Knight; Menges; Morris; Den Nijs; Oostermeijer; Quintana-Ascencio; Shelly; Stanley; Thorpe; Ticktin; Valverde; Weekley,Ecology,2012,10.1890/11-1052.1,N America,USA,HYCU_67,27.151,-81.517,27.13358,-81.35844,typo in COMPADRE,TBM,NA,NA
Hypericum_cumulicola_2,Ellis; Williams; Lesica; Bell; Bierzychudek; Bowles; Crone; Doak; Ehrlén; Ellis-Adam; McEachern; Ganesan; Latham; Luijten; Kaye; Knight; Menges; Morris; Den Nijs; Oostermeijer; Quintana-Ascencio; Shelly; Stanley; Thorpe; Ticktin; Valverde; Weekley,Ecology,2012,10.1890/11-1052.1,N America,USA,HYCU_87,27.151,-81.517,27.12428,-81.3524,typo in COMPADRE,TBM,NA,NA
Hypericum_cumulicola_2,Ellis; Williams; Lesica; Bell; Bierzychudek; Bowles; Crone; Doak; Ehrlén; Ellis-Adam; McEachern; Ganesan; Latham; Luijten; Kaye; Knight; Menges; Morris; Den Nijs; Oostermeijer; Quintana-Ascencio; Shelly; Stanley; Thorpe; Ticktin; Valverde; Weekley,Ecology,2012,10.1890/11-1052.1,N America,USA,HYCU_88,27.151,-81.517,27.12951,-81.36172,typo in COMPADRE,TBM,NA,NA
Hypericum_cumulicola_2,Ellis; Williams; Lesica; Bell; Bierzychudek; Bowles; Crone; Doak; Ehrlén; Ellis-Adam; McEachern; Ganesan; Latham; Luijten; Kaye; Knight; Menges; Morris; Den Nijs; Oostermeijer; Quintana-Ascencio; Shelly; Stanley; Thorpe; Ticktin; Valverde; Weekley,Ecology,2012,10.1890/11-1052.1,N America,USA,HYCU_91,27.151,-81.517,27.12268,-81.36189,typo in COMPADRE,TBM,NA,NA
Phyllanthus_emblica_3,Ellis; Williams; Lesica; Bell; Bierzychudek; Bowles; Crone; Doak; Ehrlén; Ellis-Adam; McEachern; Ganesan; Latham; Luijten; Kaye; Knight; Menges; Morris; Den Nijs; Oostermeijer; Quintana-Ascencio; Shelly; Stanley; Thorpe; Ticktin; Valverde; Weekley,Ecology,2012,10.1890/11-1052.1,N America,USA,PHEM_1,38.885,77.034,38.8985,-77.0378,typo in COMPADRE,TBM,NA,NA
Opuntia_macrorhiza_2,Haridas; Keeler; Tenhumberg,Ecology,2015,10.1890/13-1984.1,N America,USA,Plot 52,39.951,-105.201,NA,NA,no response from author,TCF,NA,NA
Opuntia_macrorhiza_2,Haridas; Keeler; Tenhumberg,Ecology,2015,10.1890/13-1984.1,N America,USA,Plot 57,39.950,-105.250,NA,NA,no response from author,TCF,NA,NA
Opuntia_macrorhiza_2,Haridas; Keeler; Tenhumberg,Ecology,2015,10.1890/13-1984.1,N America,USA,Plot 28,39.951,-105.251,NA,NA,no response from author,TCF,NA,NA
Opuntia_macrorhiza_2,Haridas; Keeler; Tenhumberg,Ecology,2015,10.1890/13-1984.1,N America,USA,Plot 61,39.918,-105.234,NA,NA,no response from author,TCF,NA,NA
Opuntia_macrorhiza_2,Haridas; Keeler; Tenhumberg,Ecology,2015,10.1890/13-1984.1,N America,USA,Plot 102,40.000,-105.268,NA,NA,no response from author,TCF,NA,NA
